X	Y	elevation
-660560.67616817	-990233.03677531	193
-657409.170929804	-987363.141797081	170
-654891.081739537	-990359.546208926	229
-654630.653387282	-987492.254106972	231
-655089.816889532	-994818.3655008	151
-658746.93932002	-993534.262223501	118
-661012.46495926	-993447.826591764	174
-659382.160031334	-994299.876851968	177
-656621.854693271	-989207.38831608	93
-653947.773711666	-989601.283448212	200
-658974.540569548	-989322.347030893	244
-654191.406366765	-991089.174308199	205
-653108.835340559	-988070.496482044	185
-652712.82189431	-990731.007613283	105
-654313.97484453	-991514.972891647	169
-660039.009474035	-988379.568266775	149
-655445.271405429	-991535.363388218	130
-661565.704929449	-992427.714228205	135
-660698.366140623	-990563.900600135	142
-660743.288505476	-990699.296449199	149
-656805.136201948	-994761.472828865	183
-661361.863116324	-988014.443137888	147
-660579.905800547	-992956.552384987	196
-656057.369750753	-991002.813057262	209
-661532.006797723	-993649.798796747	186
-652517.747283399	-993150.18681987	147
-655488.340968855	-989292.974986315	213
-657969.28787683	-987192.195930075	183
-653008.764960438	-987978.561998826	145
-660617.196181957	-987925.512755599	205
-653709.779838756	-989364.610219054	212
-657503.554404929	-991415.19913597	197
-659328.303160965	-992000.851865932	148
-655198.63372165	-991502.620849323	222
-661327.46407567	-988111.850651205	227
-661398.332518555	-987266.542340487	57
-653524.255842138	-993417.084737226	149
-660304.382387992	-988416.20025181	176
-658543.954643689	-994808.429866463	166
-654367.886519514	-991679.268661167	170
-652832.794353023	-988935.880674966	217
-657544.576827995	-989832.679003529	170
-656015.543658711	-989347.69364218	176
-661585.394229129	-992883.421523064	153
-657291.938876145	-992150.491663422	227
-661368.966693807	-991271.690304868	184
-654171.848430812	-988852.123677056	234
-661758.446015302	-990056.5258075	193
-658604.441518821	-989755.62065177	168
-659653.408271588	-987981.720658798	166
-655999.072074134	-989600.384858865	186
-661414.692331221	-992256.928337641	192
-654719.336979166	-990516.131959938	210
-655740.019717596	-989844.506493781	211
-653083.287850801	-988452.999097083	132
-659934.477916244	-992620.687051851	161
-660966.400024317	-989676.266828038	162
-655959.299297746	-993541.050176077	181
-661339.478957687	-989678.872791264	212
-653941.228852816	-990224.044055481	204
-652595.548293971	-993955.347403239	170
-655917.499706171	-990329.15257743	203
-656684.091882881	-990486.942206755	104
-660474.324398957	-992096.679954249	127
-654216.676651075	-993951.073113721	173
-657286.917673863	-987813.80201437	173
-658991.033329394	-993223.767720412	191
-652531.512358762	-989736.282238748	103
-654425.573764928	-989913.676898949	177
-659356.627220009	-988357.680022117	127
-652965.723086733	-993078.629259247	171
-655530.86012077	-993004.261293955	164
-653598.483018789	-991936.850571461	176
-661629.467469212	-991240.208686545	93
-656837.651899468	-989478.439672977	118
-652779.439608391	-990528.655856833	183
-654613.384282589	-987573.730013579	222
-653257.466570631	-992678.084811237	151
-657293.43357667	-989373.998584803	149
-655487.031287055	-988957.972274709	196
-660626.904138472	-989330.398887016	180
-656088.394000567	-988463.772198424	68
-653223.49344017	-992613.797972076	153
-652370.587926853	-992125.67477781	153
-658999.571559064	-991550.601983555	206
-661338.271886174	-991851.285147768	243
-657924.076559369	-990504.532473773	100
-653888.203614224	-991625.073990904	169
-655874.888953339	-994772.424148697	166
-652590.05778046	-993474.664020747	144
-661003.468403511	-994234.391551897	167
-658481.623703711	-990216.304770097	205
-656643.106782459	-989060.119167291	133
-654002.24994142	-991399.648808848	166
-655516.557861011	-993021.502753519	193
-656693.973309185	-992624.452604089	228
-660551.651475627	-992894.099800184	185
-658392.670947023	-988879.174661331	213
-659771.898560952	-993364.893892039	182
-654644.64426605	-988165.19331963	190
-656128.967327449	-993047.493425954	162
-660598.112651184	-990605.807917789	121
-654029.174904652	-988930.812243298	223
-653261.779321045	-991182.601010963	133
-654045.131988686	-988944.710499905	219
-658664.407539729	-989844.428660329	179
-652771.905174311	-989128.315272167	85
-656007.187631007	-993734.184693538	214
-661132.372476097	-988668.795539998	170
-660724.136359364	-988668.872355219	148
-659379.48810067	-992562.739051666	189
-657055.658265959	-990634.621335525	178
-652803.29309909	-991093.942785822	118
-661217.029942326	-989266.98203003	148
-658398.750925694	-992137.984660503	186
-655622.128991012	-994629.926654115	203
-657260.403338965	-991925.726292782	175
-653442.105932351	-989820.082522072	144
-653792.708782423	-990775.301401604	192
-659002.376877364	-991242.612667859	196
-659523.735923436	-993634.444363687	181
-655763.05065006	-990054.236204684	210
-654423.644148938	-991873.710224189	171
-660093.853193171	-994352.338857587	194
-659122.711431988	-988464.374142967	197
-654454.677040633	-987501.780682754	211
-654394.297607664	-993830.99975621	189
-660094.995364647	-992131.040194888	154
-653603.39624374	-988613.691087052	137
-655543.364993758	-989703.321250625	220
-654122.762042318	-990572.988918617	148
-656443.335973784	-992705.662025511	201
-658965.938774444	-990453.731903479	96
-653772.466565009	-994693.620884873	179
-659526.072432637	-993032.426075682	151
-660321.822903298	-992827.427124962	135
-659529.91150903	-988794.334771331	182
-656749.855622698	-988501.678742543	161
-659988.075686391	-992043.279171571	76
-659138.744332936	-992613.039313726	166
-659880.282878127	-991495.327823646	176
-653017.595276609	-987954.998909779	135
-656903.481288105	-991382.190208696	206
-659203.272767555	-992069.279251859	210
-654041.704304833	-994669.697544076	205
-658648.858513929	-991406.9012345	148
-652708.853299741	-989289.767132331	156
-661505.064691667	-988992.432993606	168
-657420.404632889	-989260.061356518	164
-655999.368805319	-987412.238761641	111
-660163.57941613	-988747.313857876	140
-653273.553393073	-988850.92847877	177
-660325.93499634	-987836.438742284	194
-657648.810095366	-988202.986023046	200
-657533.152827229	-987635.004681278	171
-653575.998615149	-992796.513286777	170
-654872.613015968	-991620.619170364	187
-656695.473167531	-987533.305780105	191
-660521.090630442	-988166.068851851	143
-654703.425641634	-989764.225541659	215
-655807.096237864	-994782.160196103	171
-653975.095677502	-992697.194402721	178
-659321.840005826	-993570.243973482	182
-660979.573007155	-992838.364723828	177
-660256.571748011	-990946.746002886	238
-657774.375898108	-989708.553089876	147
-656636.202902142	-988597.919636056	154
-653254.816634491	-993568.74358302	138
-655002.28438409	-994604.09733488	185
-653409.963666055	-988881.816656906	180
-659521.48329163	-987239.979183983	175
-657585.306979563	-988891.090231843	160
-660731.178245582	-988598.20495487	149
-660414.315186232	-989465.16208338	148
-660403.701117828	-990093.869526375	188
-656918.785387792	-989358.948322102	99
-658781.561252624	-994554.0280778	140
